teaching_point,question_type,language,bloom_level,request_language,request_question_type,request_bloom_level,number_of_distractors,number_of_correct_answers,teaching_point_en,teaching_point_ar,question_number,question_text,model_answer,num_options,correct_answers,num_correct_answers,option_A,option_B,option_C,option_D,option_E,option_F,options_formatted,error_status,error_message
Explain the challenge of Human Progress Exponential growth (Learning GAP issue),TRUE_FALSE,english,REMEMBER,en,TRUE_FALSE,REMEMBER,5.0,0.0,Explain the challenge of Human Progress Exponential growth (Learning GAP issue),يشرح تحديات التعلم في ظل معدل النمو الهائل للتقدم البشري ( مسالة فجوة التعلم),1,"In the context of Air Force Defense and Institute (AFADI), does the term ""Human Progress Exponential Growth"" refer to the rapid and unsustainable increase in human activity that can challenge defense systems' ability to adapt?",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
Explain the challenge of Human Progress Exponential growth (Learning GAP issue),TRUE_FALSE,english,REMEMBER,en,TRUE_FALSE,REMEMBER,5.0,0.0,Explain the challenge of Human Progress Exponential growth (Learning GAP issue),يشرح تحديات التعلم في ظل معدل النمو الهائل للتقدم البشري ( مسالة فجوة التعلم),2,"Is the ""Learning GAP issue"" in AFADI related to the difficulty of keeping training and operational practices aligned with the exponential growth of technology and threats?",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
Explain the challenge of Human Progress Exponential growth (Learning GAP issue),TRUE_FALSE,english,REMEMBER,en,TRUE_FALSE,REMEMBER,5.0,0.0,Explain the challenge of Human Progress Exponential growth (Learning GAP issue),يشرح تحديات التعلم في ظل معدل النمو الهائل للتقدم البشري ( مسالة فجوة التعلم),3,Does the exponential growth of human progress in military contexts imply that defense strategies must evolve at a slower rate to remain effective?,,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يشرح مفهوم العقل الضيق,MULTI_SELECT,arabic,ANALYZE,ar,MULTI_SELECT,ANALYZE,3.0,2.0,"Explain the concept of ""narrow mind""",يشرح مفهوم العقل الضيق,1,ما هي الصفة التي تُعد من خصائص العقل الضيق في سياق الدفاع الجوي؟,,5.0,"[C, D]",2.0,القدرة على اتخاذ قرارات سريعة,التفكير المرن والمتعدد الاتجاهات,التفكير العدائي والانغماس في الأفكار السلبية,القدرة على تحليل المواقف بعمق,التفكير المنهجي والتحليلي,,A) القدرة على اتخاذ قرارات سريعة | B) التفكير المرن والمتعدد الاتجاهات | C) التفكير العدائي والانغماس في الأفكار السلبية | D) القدرة على تحليل المواقف بعمق | E) التفكير المنهجي والتحليلي,,
يشرح مفهوم العقل الضيق,MULTI_SELECT,arabic,ANALYZE,ar,MULTI_SELECT,ANALYZE,3.0,2.0,"Explain the concept of ""narrow mind""",يشرح مفهوم العقل الضيق,2,في سياق تدريبات AFADI، ماذا يُقصد بالعقل الضيق؟,,5.0,"[B, E]",2.0,نوع من التفكير متعدد الأبعاد,تفكير مركّز على الاحتمالات المحدودة,القدرة على التفكير الإبداعي,تفكير مرن قائم على الاستنتاجات,تفكير يركز على الحلول العشوائية,,A) نوع من التفكير متعدد الأبعاد | B) تفكير مركّز على الاحتمالات المحدودة | C) القدرة على التفكير الإبداعي | D) تفكير مرن قائم على الاستنتاجات | E) تفكير يركز على الحلول العشوائية,,
يشرح مفهوم العقل الضيق,MULTI_SELECT,arabic,ANALYZE,ar,MULTI_SELECT,ANALYZE,3.0,2.0,"Explain the concept of ""narrow mind""",يشرح مفهوم العقل الضيق,3,ما هي العوامل التي تؤدي إلى العقل الضيق في سياق عمليات الدفاع الجوي؟,,5.0,"[A, C]",2.0,الاعتماد على المعلومات المحدودة,التفكير الواسع النطاق,التحلي بسمات انغماسية في الأفكار,القدرة على الاستجابة للتغيرات بسرعة,التركيز على الحلول المتعددة,,A) الاعتماد على المعلومات المحدودة | B) التفكير الواسع النطاق | C) التحلي بسمات انغماسية في الأفكار | D) القدرة على الاستجابة للتغيرات بسرعة | E) التركيز على الحلول المتعددة,,
يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,TRUE_FALSE,arabic,EVALUATE,ar,TRUE_FALSE,EVALUATE,5.0,0.0,"Explain the difference between Command, Management and Leadership",يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,1,في سياق القوات الجوية الدفاعية، تعتبر القيادة العسكرية والإدارة والقيادة مفاهيمًا متطابقة بالكامل في الأدوار والمسؤوليات؟,,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,TRUE_FALSE,arabic,EVALUATE,ar,TRUE_FALSE,EVALUATE,5.0,0.0,"Explain the difference between Command, Management and Leadership",يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,2,يمكن تطبيق مفاهيم القيادة العسكرية في سيناريوهات إدارة المطارات الجوية دون الحاجة إلى فهم فارقها عن الإدارة؟,,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,TRUE_FALSE,arabic,EVALUATE,ar,TRUE_FALSE,EVALUATE,5.0,0.0,"Explain the difference between Command, Management and Leadership",يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,3,في تدريبات AFADI، يتم تعزيز مفهوم القيادة العسكرية كمزيج من القيادة والإدارة؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
State the leader’s responsibilities for subordinates,TRUE_FALSE,english,ANALYZE,en,TRUE_FALSE,ANALYZE,3.0,0.0,State the leader’s responsibilities for subordinates,يبين مسئوليات القائد تجاه المرؤوسين,1,"A leader in AFADI is responsible for ensuring that subordinates are trained in air defense tactics, even if they are not directly involved in combat operations.",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
State the leader’s responsibilities for subordinates,TRUE_FALSE,english,ANALYZE,en,TRUE_FALSE,ANALYZE,3.0,0.0,State the leader’s responsibilities for subordinates,يبين مسئوليات القائد تجاه المرؤوسين,2,"In an air defense scenario, a leader should only focus on the performance of their own team, not on the development of subordinates.",,2.0,B,1.0,True,False,,,,,A) True | B) False,,
State the leader’s responsibilities for subordinates,TRUE_FALSE,english,ANALYZE,en,TRUE_FALSE,ANALYZE,3.0,0.0,State the leader’s responsibilities for subordinates,يبين مسئوليات القائد تجاه المرؤوسين,3,"If a subordinate is not meeting performance standards, the leader is not responsible for addressing the issue as long as the mission is completed.",,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,MULTI_SELECT,arabic,APPLY,ar,MULTI_SELECT,APPLY,5.0,2.0,"Explain the concept of Leadership as a ""force"" to maximize the collective action of the organization.",يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,1,ما هي الآلية التي تساعد القيادة في تعزيز قدرة الوحدة على الأداء الجماعي في سياق الدفاع الجوي؟,,6.0,"B, G",2.0,تقليل الاتصالات بين الضباط,توحيد الأهداف والرؤية المشتركة,تقليل التدريبات المشتركة,توزيع المهام بشكل عشوائي,تحديد الأدوار بشكل دقيق,تجاهل التوجيهات العليا,A) تقليل الاتصالات بين الضباط | B) توحيد الأهداف والرؤية المشتركة | C) تقليل التدريبات المشتركة | D) توزيع المهام بشكل عشوائي | E) تحديد الأدوار بشكل دقيق | F) تجاهل التوجيهات العليا,,
